driver_id,reporting_date,income,grade,total_business_value,quarterly_rating,last_working_date,is_churned,tenure_months,income_change_pct,bv_change_pct,rating_change,health_score,health_category
1,2019-01-01,57387,1,2381060,2,,0,2,0.0,0.0,0.0,40.42,Watch List
1,2019-02-01,57387,1,-665480,2,,0,3,0.0,-127.9488967098687,0.0,28.54,At Risk
1,2019-03-01,57387,1,0,2,2019-11-03,1,4,0.0,0.0,0.0,41.67,Watch List
2,2020-11-01,67016,2,0,1,,0,6,0.0,0.0,0.0,36.25,Watch List
2,2020-12-01,67016,2,0,1,,0,7,0.0,0.0,0.0,36.88,Watch List
4,2019-12-01,65603,2,0,1,,0,6,0.0,0.0,0.0,36.25,Watch List
4,2020-01-01,65603,2,0,1,,0,7,0.0,0.0,0.0,36.88,Watch List
4,2020-02-01,65603,2,0,1,,0,8,0.0,0.0,0.0,37.5,Watch List
4,2020-03-01,65603,2,350000,1,,0,9,0.0,0.0,0.0,38.12,Watch List
4,2020-04-01,65603,2,0,1,2020-04-27,1,10,0.0,-100.0,0.0,26.25,At Risk
5,2019-01-01,46368,1,0,1,,0,-7,0.0,0.0,0.0,32.5,At Risk
5,2019-02-01,46368,1,120360,1,,0,-6,0.0,0.0,0.0,32.5,At Risk
5,2019-03-01,46368,1,0,1,2019-07-03,1,-5,0.0,-100.0,0.0,20.0,At Risk
6,2020-08-01,78728,3,0,1,,0,2,0.0,0.0,0.0,33.75,At Risk
6,2020-09-01,78728,3,0,1,,0,3,0.0,0.0,0.0,34.38,At Risk
6,2020-10-01,78728,3,0,2,,0,4,0.0,0.0,1.0,45.42,Watch List
6,2020-11-01,78728,3,1265000,2,,0,5,0.0,0.0,0.0,42.29,Watch List
6,2020-12-01,78728,3,0,2,,0,6,0.0,-100.0,0.0,30.42,At Risk
8,2020-09-01,70656,3,0,1,,0,1,0.0,0.0,0.0,33.12,At Risk
8,2020-10-01,70656,3,0,1,,0,2,0.0,0.0,0.0,33.75,At Risk
8,2020-11-01,70656,3,0,1,2020-11-15,1,3,0.0,0.0,0.0,34.38,At Risk
11,2020-12-01,42172,1,0,1,,0,6,0.0,0.0,0.0,36.25,Watch List
12,2019-07-01,28116,1,500000,4,,0,2,0.0,0.0,0.0,53.75,Stable
12,2019-08-01,28116,1,1707180,4,,0,3,0.0,241.43599999999998,0.0,66.88,Stable
12,2019-09-01,28116,1,400000,4,,0,4,0.0,-76.56954744080882,0.0,42.5,Watch List
12,2019-10-01,28116,1,0,1,,0,5,0.0,-100.0,-3.0,15.62,At Risk
12,2019-11-01,28116,1,0,1,,0,6,0.0,0.0,0.0,36.25,Watch List
12,2019-12-01,28116,1,0,1,2019-12-21,1,7,0.0,0.0,0.0,36.88,Watch List
13,2019-01-01,119227,4,250000,1,,0,45,0.0,0.0,0.0,47.5,Watch List
13,2019-02-01,119227,4,1719680,1,,0,46,0.0,587.8720000000001,0.0,60.0,Stable
13,2019-03-01,119227,4,545240,1,,0,47,0.0,-68.29410122813546,0.0,35.0,Watch List
13,2019-04-01,119227,4,250000,2,,0,48,0.0,-54.14863179517276,1.0,45.42,Watch List
13,2019-05-01,119227,4,895510,2,,0,49,0.0,258.204,0.0,66.67,Stable
13,2019-06-01,119227,4,0,2,,0,50,0.0,-100.0,0.0,41.67,Watch List
13,2019-07-01,119227,4,350650,2,,0,51,0.0,0.0,0.0,54.17,Stable
13,2019-08-01,119227,4,708360,2,,0,52,0.0,102.01340367888207,0.0,66.67,Stable
13,2019-09-01,119227,4,1190290,2,,0,53,0.0,68.034615167429,0.0,66.67,Stable
13,2019-10-01,119227,4,0,1,,0,54,0.0,-100.0,-1.0,31.25,At Risk
13,2019-11-01,119227,4,200000,1,,0,55,0.0,0.0,0.0,47.5,Watch List
13,2019-12-01,119227,4,300000,1,,0,56,0.0,50.0,0.0,60.0,Stable
13,2020-01-01,119227,4,151110,1,,0,57,0.0,-49.63,0.0,35.09,Watch List
13,2020-02-01,119227,4,200000,1,,0,58,0.0,32.3539143670174,0.0,55.59,Stable
13,2020-03-01,119227,4,1593590,1,,0,59,0.0,696.795,0.0,60.0,Stable
13,2020-04-01,119227,4,0,1,,0,60,0.0,-100.0,0.0,35.0,Watch List
13,2020-05-01,119227,4,400000,1,,0,61,0.0,0.0,0.0,47.5,Watch List
13,2020-06-01,119227,4,258610,1,,0,62,0.0,-35.3475,0.0,38.66,Watch List
13,2020-07-01,119227,4,150000,1,,0,63,0.0,-41.9976025675728,0.0,37.0,Watch List
13,2020-08-01,119227,4,500000,1,,0,64,0.0,233.33333333333334,0.0,60.0,Stable
13,2020-09-01,119227,4,200000,1,,0,65,0.0,-60.0,0.0,35.0,Watch List
13,2020-10-01,119227,4,350000,1,,0,66,0.0,75.0,0.0,60.0,Stable
13,2020-11-01,119227,4,0,1,2020-11-25,1,67,0.0,-100.0,0.0,35.0,Watch List
14,2020-10-01,19734,3,0,1,,0,1,0.0,0.0,0.0,33.12,At Risk
14,2020-11-01,19734,3,0,1,,0,2,0.0,0.0,0.0,33.75,At Risk
14,2020-12-01,19734,3,0,1,,0,3,0.0,0.0,0.0,34.38,At Risk
16,2019-01-01,52963,2,346800,1,,0,3,0.0,0.0,0.0,34.38,At Risk
16,2019-02-01,52963,2,0,1,2019-02-22,1,4,0.0,-100.0,0.0,22.5,At Risk
17,2019-01-01,51099,1,100000,2,,0,8,0.0,0.0,0.0,44.17,Watch List
17,2019-02-01,51099,1,0,2,,0,9,0.0,-100.0,0.0,32.29,At Risk
17,2019-03-01,51099,1,674990,2,,0,10,0.0,0.0,0.0,45.42,Watch List
17,2019-04-01,51099,1,242650,1,,0,11,0.0,-64.05131927880413,-1.0,23.12,At Risk
17,2019-05-01,51099,1,0,1,,0,12,0.0,-100.0,0.0,27.5,At Risk
17,2019-06-01,51099,1,0,1,,0,13,0.0,0.0,0.0,40.62,Watch List
17,2019-07-01,51099,1,0,1,2019-07-20,1,14,0.0,0.0,0.0,41.25,Watch List
18,2019-01-01,31631,1,0,1,,0,-7,0.0,0.0,0.0,32.5,At Risk
18,2019-02-01,31631,1,0,1,,0,-6,0.0,0.0,0.0,32.5,At Risk
18,2019-03-01,31631,1,0,1,,0,-5,0.0,0.0,0.0,32.5,At Risk
18,2019-04-01,31631,1,0,1,,0,-4,0.0,0.0,0.0,32.5,At Risk
18,2019-05-01,31631,1,0,1,2019-04-30,1,-3,0.0,0.0,0.0,32.5,At Risk
20,2019-10-01,40342,3,0,1,,0,1,0.0,0.0,0.0,33.12,At Risk
20,2019-11-01,40342,3,0,1,,0,2,0.0,0.0,0.0,33.75,At Risk
20,2019-12-01,40342,3,0,1,,0,3,0.0,0.0,0.0,34.38,At Risk
20,2020-01-01,40342,3,0,1,,0,4,0.0,0.0,0.0,35.0,Watch List
20,2020-02-01,40342,3,0,1,,0,5,0.0,0.0,0.0,35.62,Watch List
20,2020-03-01,40342,3,0,1,2020-01-03,1,6,0.0,0.0,0.0,36.25,Watch List
21,2019-01-01,22755,1,948560,4,,0,2,0.0,0.0,0.0,53.75,Stable
21,2019-02-01,22755,1,551740,4,,0,3,0.0,-41.83393775828625,0.0,43.92,Watch List
21,2019-03-01,22755,1,3295370,4,,0,4,0.0,497.26864102657044,0.0,67.5,Stable
21,2019-04-01,22755,1,0,2,,0,5,0.0,-100.0,-2.0,22.29,At Risk
21,2019-05-01,22755,1,116350,2,,0,6,0.0,0.0,0.0,42.92,Watch List
21,2019-06-01,22755,1,533260,2,,0,7,0.0,358.32402234636874,0.0,56.04,Stable
21,2019-07-01,22755,1,150450,2,,0,8,0.0,-71.78674567753066,0.0,31.67,At Risk
21,2019-08-01,22755,1,0,2,,0,9,0.0,-100.0,0.0,32.29,At Risk
21,2019-09-01,22755,1,520980,2,,0,10,0.0,0.0,0.0,45.42,Watch List
21,2019-10-01,22755,1,150600,2,,0,11,0.0,-71.0929402280318,0.0,33.54,At Risk
21,2019-11-01,22755,1,0,2,,0,12,0.0,-100.0,0.0,34.17,At Risk
21,2019-12-01,22755,1,263690,2,,0,13,0.0,0.0,0.0,47.29,Watch List
21,2020-01-01,22755,1,150170,1,,0,14,0.0,-43.05055178429216,-1.0,26.74,At Risk
21,2020-02-01,22755,1,281380,1,2020-02-17,1,15,0.0,87.37430911633483,0.0,54.37,Stable
22,2019-01-01,31224,1,216170,2,,0,9,0.0,0.0,0.0,44.79,Watch List
22,2019-02-01,31224,1,404600,2,,0,10,0.0,87.16750705463294,0.0,57.92,Stable
22,2019-03-01,31224,1,819960,2,,0,11,0.0,102.6594167078596,0.0,58.54,Stable
22,2019-04-01,31224,1,601680,4,,0,12,0.0,-26.620810771257137,2.0,60.84,Stable
22,2019-05-01,31224,1,635700,4,,0,13,0.0,5.654168328679697,0.0,62.04,Stable
22,2019-06-01,31224,1,121590,4,,0,14,0.0,-80.87305332704105,0.0,48.75,Watch List
22,2019-07-01,31224,1,653680,4,,0,15,0.0,437.61000082243606,0.0,74.37,Healthy
22,2019-08-01,31224,1,1120560,4,,0,16,0.0,71.42332639823768,0.0,75.0,Healthy
22,2019-09-01,31224,1,696920,4,,0,17,0.0,-37.80609695152424,0.0,53.67,Stable
22,2019-10-01,31224,1,200000,3,,0,18,0.0,-71.30230155541526,-1.0,40.83,Watch List
22,2019-11-01,31224,1,306410,3,,0,19,0.0,53.205000000000005,0.0,70.21,Healthy
22,2019-12-01,31224,1,499480,3,,0,20,0.0,63.01034561535198,0.0,70.83,Healthy
22,2020-01-01,31224,1,500510,2,,0,21,0.0,0.2062144630415632,-1.0,48.59,Watch List
22,2020-02-01,31224,1,658430,2,,0,22,0.0,31.551817146510558,0.0,60.8,Stable
22,2020-03-01,31224,1,103800,2,,0,23,0.0,-84.23522621994745,0.0,41.04,Watch List
22,2020-04-01,31224,1,0,1,2020-04-26,1,24,0.0,-100.0,-1.0,31.25,At Risk
